model_tag,method,tier,family,metric,mean,ci_low,ci_high,n
llama31_8b,conflict_audit,tier1,citation_vs_informativeness,OSR,0.3466666666666667,0.32,0.37416666666666665,1200
llama31_8b,conflict_audit,tier1,citation_vs_informativeness,POR_C,0.7024793388429752,0.6556473829201102,0.7493112947658402,363
llama31_8b,conflict_audit,tier1,citation_vs_informativeness,HHR,1.0,1.0,1.0,108
llama31_8b,conflict_audit,tier1,citation_vs_informativeness,RSR,0.0,0.0,0.0,108
llama31_8b,conflict_audit,tier1,completeness_vs_concision,OSR,0.0075,0.0033333333333333335,0.0125,1200
llama31_8b,conflict_audit,tier1,completeness_vs_concision,POR_C,,,,0
llama31_8b,conflict_audit,tier1,completeness_vs_concision,HHR,,,,0
llama31_8b,conflict_audit,tier1,completeness_vs_concision,RSR,,,,0
llama31_8b,conflict_audit,tier1,correctness_vs_fluency,OSR,0.041666666666666664,0.030833333333333334,0.05333333333333334,1200
llama31_8b,conflict_audit,tier1,correctness_vs_fluency,POR_C,,,,0
llama31_8b,conflict_audit,tier1,correctness_vs_fluency,HHR,,,,0
llama31_8b,conflict_audit,tier1,correctness_vs_fluency,RSR,,,,0
llama31_8b,conflict_audit,tier1,evidence_vs_confidence,OSR,0.0525,0.04,0.06583333333333333,1200
llama31_8b,conflict_audit,tier1,evidence_vs_confidence,POR_C,1.0,1.0,1.0,61
llama31_8b,conflict_audit,tier1,evidence_vs_confidence,HHR,,,,0
llama31_8b,conflict_audit,tier1,evidence_vs_confidence,RSR,,,,0
llama31_8b,conflict_audit,tier1,safety_vs_helpfulness,OSR,0.7916666666666666,0.7683333333333333,0.815,1200
llama31_8b,conflict_audit,tier1,safety_vs_helpfulness,POR_C,0.6666666666666666,0.6333333333333333,0.7,750
llama31_8b,conflict_audit,tier1,safety_vs_helpfulness,HHR,1.0,1.0,1.0,250
llama31_8b,conflict_audit,tier1,safety_vs_helpfulness,RSR,0.0,0.0,0.0,250
llama31_8b,conflict_audit,tier1,substance_vs_format,OSR,0.0,0.0,0.0,1200
llama31_8b,conflict_audit,tier1,substance_vs_format,POR_C,,,,0
llama31_8b,conflict_audit,tier1,substance_vs_format,HHR,,,,0
llama31_8b,conflict_audit,tier1,substance_vs_format,RSR,,,,0
llama31_8b,conflict_audit,tier2_llmbar,instruction_following_vs_surface_quality,OSR,0.075,0.0575,0.09375,800
llama31_8b,conflict_audit,tier2_llmbar,instruction_following_vs_surface_quality,POR_C,0.55,0.4166666666666667,0.6666666666666666,60
llama31_8b,conflict_audit,tier2_llmbar,instruction_following_vs_surface_quality,HHR,1.0,1.0,1.0,17
llama31_8b,conflict_audit,tier2_llmbar,instruction_following_vs_surface_quality,RSR,0.0,0.0,0.0,17
llama31_8b,context_forward,tier1,citation_vs_informativeness,OSR,0.8333333333333334,0.8016666666666666,0.8633333333333333,600
llama31_8b,context_forward,tier1,citation_vs_informativeness,POR_C,0.625,0.5775,0.6725,400
llama31_8b,context_forward,tier1,citation_vs_informativeness,HHR,1.0,1.0,1.0,150
llama31_8b,context_forward,tier1,citation_vs_informativeness,RSR,0.0,0.0,0.0,150
llama31_8b,context_forward,tier1,completeness_vs_concision,OSR,0.4866666666666667,0.44666666666666666,0.5266666666666666,600
llama31_8b,context_forward,tier1,completeness_vs_concision,POR_C,1.0,1.0,1.0,234
llama31_8b,context_forward,tier1,completeness_vs_concision,HHR,,,,0
llama31_8b,context_forward,tier1,completeness_vs_concision,RSR,,,,0
llama31_8b,context_forward,tier1,correctness_vs_fluency,OSR,0.44666666666666666,0.4083333333333333,0.4866666666666667,600
llama31_8b,context_forward,tier1,correctness_vs_fluency,POR_C,0.9761904761904762,0.9523809523809523,0.9940476190476191,168
llama31_8b,context_forward,tier1,correctness_vs_fluency,HHR,1.0,1.0,1.0,4
llama31_8b,context_forward,tier1,correctness_vs_fluency,RSR,0.0,0.0,0.0,4
llama31_8b,context_forward,tier1,evidence_vs_confidence,OSR,0.5066666666666667,0.4666666666666667,0.5466666666666666,600
llama31_8b,context_forward,tier1,evidence_vs_confidence,POR_C,0.9656862745098039,0.9362745098039216,0.9901960784313726,204
llama31_8b,context_forward,tier1,evidence_vs_confidence,HHR,1.0,1.0,1.0,7
llama31_8b,context_forward,tier1,evidence_vs_confidence,RSR,0.0,0.0,0.0,7
llama31_8b,context_forward,tier1,safety_vs_helpfulness,OSR,1.0,1.0,1.0,600
llama31_8b,context_forward,tier1,safety_vs_helpfulness,POR_C,0.5,0.456,0.544,500
