family,model_tag,reversals,n,reversal_rate
citation_vs_informativeness,mistral7b_v03,0.0,713,0.0
citation_vs_informativeness,qwen25_3b,0.0,457,0.0
citation_vs_informativeness,qwen25_7b,0.0,391,0.0
completeness_vs_concision,mistral7b_v03,0.0,293,0.0
completeness_vs_concision,qwen25_3b,0.0,1642,0.0
completeness_vs_concision,qwen25_7b,174.0,535,0.3252336448598131
correctness_vs_fluency,mistral7b_v03,0.0,316,0.0
correctness_vs_fluency,qwen25_3b,22.0,484,0.045454545454545456
correctness_vs_fluency,qwen25_7b,139.0,819,0.16971916971916973
evidence_vs_confidence,mistral7b_v03,0.0,7,0.0
evidence_vs_confidence,qwen25_3b,0.0,1505,0.0
evidence_vs_confidence,qwen25_7b,0.0,1983,0.0
instruction_following_vs_surface_quality,mistral7b_v03,5.0,436,0.011467889908256881
instruction_following_vs_surface_quality,qwen25_3b,0.0,366,0.0
instruction_following_vs_surface_quality,qwen25_7b,4.0,949,0.004214963119072708
safety_vs_helpfulness,mistral7b_v03,0.0,2000,0.0
safety_vs_helpfulness,qwen25_3b,0.0,2000,0.0
safety_vs_helpfulness,qwen25_7b,0.0,2000,0.0
substance_vs_format,mistral7b_v03,0.0,1465,0.0
substance_vs_format,qwen25_3b,2.0,1017,0.0019665683382497543
substance_vs_format,qwen25_7b,80.0,1081,0.07400555041628122
