model_tag,method,tier,family,metric,mean,ci_low,ci_high,n
mistral7b_v03,conflict_audit,tier1,citation_vs_informativeness,PAIRED_RETENTION,0.736,0.696,0.774,500
mistral7b_v03,conflict_audit,tier1,citation_vs_informativeness,PAIRED_POR_C,0.5,0.5,0.5,368
mistral7b_v03,conflict_audit,tier1,citation_vs_informativeness,PAIRED_HHR,1.0,1.0,1.0,368
mistral7b_v03,conflict_audit,tier1,citation_vs_informativeness,PAIRED_RSR,0.0,0.0,0.0,368
mistral7b_v03,conflict_audit,tier1,completeness_vs_concision,PAIRED_RETENTION,0.462,0.418,0.506,500
mistral7b_v03,conflict_audit,tier1,completeness_vs_concision,PAIRED_POR_C,0.5,0.5,0.5,231
mistral7b_v03,conflict_audit,tier1,completeness_vs_concision,PAIRED_HHR,1.0,1.0,1.0,231
mistral7b_v03,conflict_audit,tier1,completeness_vs_concision,PAIRED_RSR,0.0,0.0,0.0,231
mistral7b_v03,conflict_audit,tier1,correctness_vs_fluency,PAIRED_RETENTION,0.108,0.082,0.136,500
mistral7b_v03,conflict_audit,tier1,correctness_vs_fluency,PAIRED_POR_C,0.5,0.5,0.5,54
mistral7b_v03,conflict_audit,tier1,correctness_vs_fluency,PAIRED_HHR,1.0,1.0,1.0,54
mistral7b_v03,conflict_audit,tier1,correctness_vs_fluency,PAIRED_RSR,0.0,0.0,0.0,54
mistral7b_v03,conflict_audit,tier1,evidence_vs_confidence,PAIRED_RETENTION,0.004,0.0,0.01,500
mistral7b_v03,conflict_audit,tier1,evidence_vs_confidence,PAIRED_POR_C,0.5,0.5,0.5,2
mistral7b_v03,conflict_audit,tier1,evidence_vs_confidence,PAIRED_HHR,1.0,1.0,1.0,2
mistral7b_v03,conflict_audit,tier1,evidence_vs_confidence,PAIRED_RSR,0.0,0.0,0.0,2
mistral7b_v03,conflict_audit,tier1,safety_vs_helpfulness,PAIRED_RETENTION,1.0,1.0,1.0,500
mistral7b_v03,conflict_audit,tier1,safety_vs_helpfulness,PAIRED_POR_C,0.5,0.5,0.5,500
mistral7b_v03,conflict_audit,tier1,safety_vs_helpfulness,PAIRED_HHR,1.0,1.0,1.0,500
mistral7b_v03,conflict_audit,tier1,safety_vs_helpfulness,PAIRED_RSR,0.0,0.0,0.0,500
mistral7b_v03,conflict_audit,tier1,substance_vs_format,PAIRED_RETENTION,0.814,0.78,0.848,500
mistral7b_v03,conflict_audit,tier1,substance_vs_format,PAIRED_POR_C,0.5,0.5,0.5,407
mistral7b_v03,conflict_audit,tier1,substance_vs_format,PAIRED_HHR,1.0,1.0,1.0,407
mistral7b_v03,conflict_audit,tier1,substance_vs_format,PAIRED_RSR,0.0,0.0,0.0,407
mistral7b_v03,conflict_audit,tier2_llmbar,instruction_following_vs_surface_quality,PAIRED_RETENTION,0.3025,0.2575,0.3475,400
mistral7b_v03,conflict_audit,tier2_llmbar,instruction_following_vs_surface_quality,PAIRED_POR_C,0.5,0.5,0.5,121
mistral7b_v03,conflict_audit,tier2_llmbar,instruction_following_vs_surface_quality,PAIRED_HHR,1.0,1.0,1.0,121
