model_tag,method,item_id,tier,source,family,paraphrase_id,pred_a_over_b,pred_b_over_a,same_candidate_under_reversal,correct_priority_reversal
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00000,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00007,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00008,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00019,tier1,constructed_cpo,citation_vs_informativeness,0,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00019,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00027,tier1,constructed_cpo,citation_vs_informativeness,0,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00027,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00028,tier1,constructed_cpo,citation_vs_informativeness,0,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00028,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00030,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00032,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00033,tier1,constructed_cpo,citation_vs_informativeness,0,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00033,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00034,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00035,tier1,constructed_cpo,citation_vs_informativeness,0,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00035,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00037,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00038,tier1,constructed_cpo,citation_vs_informativeness,0,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00038,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00040,tier1,constructed_cpo,citation_vs_informativeness,0,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00040,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00042,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00043,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00044,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00045,tier1,constructed_cpo,citation_vs_informativeness,0,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00045,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00046,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00050,tier1,constructed_cpo,citation_vs_informativeness,0,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00050,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00055,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00063,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00065,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00067,tier1,constructed_cpo,citation_vs_informativeness,0,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00067,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00077,tier1,constructed_cpo,citation_vs_informativeness,0,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00077,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00078,tier1,constructed_cpo,citation_vs_informativeness,0,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00078,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00079,tier1,constructed_cpo,citation_vs_informativeness,0,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00079,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00082,tier1,constructed_cpo,citation_vs_informativeness,0,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00082,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00083,tier1,constructed_cpo,citation_vs_informativeness,0,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00083,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00092,tier1,constructed_cpo,citation_vs_informativeness,0,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00092,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00096,tier1,constructed_cpo,citation_vs_informativeness,0,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00096,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00101,tier1,constructed_cpo,citation_vs_informativeness,0,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00101,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00106,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00107,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00111,tier1,constructed_cpo,citation_vs_informativeness,0,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00111,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00115,tier1,constructed_cpo,citation_vs_informativeness,0,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00115,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00117,tier1,constructed_cpo,citation_vs_informativeness,0,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00117,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00119,tier1,constructed_cpo,citation_vs_informativeness,0,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00119,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00120,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00125,tier1,constructed_cpo,citation_vs_informativeness,0,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00125,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00130,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00136,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00149,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00151,tier1,constructed_cpo,citation_vs_informativeness,0,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00151,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00162,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00164,tier1,constructed_cpo,citation_vs_informativeness,0,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00164,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00169,tier1,constructed_cpo,citation_vs_informativeness,0,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00169,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00170,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00172,tier1,constructed_cpo,citation_vs_informativeness,0,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00172,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00176,tier1,constructed_cpo,citation_vs_informativeness,0,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00176,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00179,tier1,constructed_cpo,citation_vs_informativeness,0,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00179,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00181,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00184,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00185,tier1,constructed_cpo,citation_vs_informativeness,0,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00185,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00186,tier1,constructed_cpo,citation_vs_informativeness,0,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00186,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00197,tier1,constructed_cpo,citation_vs_informativeness,0,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00197,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
llama31_8b,conflict_audit,tier1_citation_vs_informativeness_conflict_00198,tier1,constructed_cpo,citation_vs_informativeness,1,candidate_2,candidate_2,1,0
